"token","staff_token","t1","t2","t3","dsq1_qbtitle","dsq1_qbid","dsq1_qbresp","dsq2_qbtitle","dsq2_qbid","dsq2_qbresp","dsq3_qbtitle","dsq3_qbid","dsq3_qbresp","t5c","t6c","t7","t7_comments_qpresp","t4","q21_average_question_score_average_question_score","mod_subjectid","mod_class_id","mod_class_name","mod_transformed","mod_term","mod_evaluation_start_date","mod_evaluation_end_date","mod_ay","mod_sem","mod_rptterm","mod_module_code","mod_activity_code","mod_activity_type","mod_class_no","mod_activity_code_report","mod_rpt_activity_type","mod_module_name","mod_crseid","mod_faculty_code","mod_faculty","mod_dept_code","mod_department","mod_evaluate_class_option","mod_year_long_module","mod_level","mod_rptfaccd","mod_rptfacdesc","mod_dept_average_by_activity","mod_rptdeptavgactivitydesc","mod_dept_average_by_activity_and_level","mod_rptdeptavgactivitylvldesc","mod_faculty_average_by_activity","mod_rptfacavgactivitydesc","mod_faculty_average_by_activity_and_level","mod_rptfacavgactivitylvldesc","mod_isismoddeptcd","mod_isismodfaccd","mod_merge_classid","mod_common_name","mod_is_prime"
"10137_1160","8487_43","5","1","5","","","","","","","","","","Good text 10","Bad text 2","0","Awesome text 12","","","","GER1000","Programming Methodology","","1310","","","13","1","1310","1037","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10137_1160","11463_41","3","2","2","","","","","","","","","","Good text 13","Bad text 10","1","Awesome text 9","","","","CM2101","Chinese Language: Its Past and Present","","1310","","","13","1","1310","1457","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10137_1160","69059_81","5","2","2","","","","","","","","","","Good text 5","Bad text 3","0","Awesome text 5","","","","MA1506","Mathematics II","","1310","","","13","1","1310","1545","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10144_1886","99830_25","4","4","2","","","","","","","","","","Good text 1","Bad text 7","1","Awesome text 12","","","","PC1431","NUS Data Protection & PDPA Guidelines","","720","","","7","2","720","1103","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10144_1886","42681_12","3","2","5","","","","","","","","","","Good text 2","Bad text 2","1","","","","","LAJ1201","DOCTORAL SEMINARS","","720","","","7","2","720","1079","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10144_1886","9420_55","1","4","4","","","","","","","","","","Good text 2","Bad text 12","1","","","","","PR3102","Understanding and Critiquing Sustainability","","720","","","7","2","720","1075","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10144_1886","41134_94","4","4","3","","","","","","","","","","Good text 5","Bad text 6","0","","","","","EC1101E","Changing Landscapes of Singapore","","720","","","7","2","720","12337","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10144_1886","73607_83","5","2","3","","","","","","","","","","Good text 5","Bad text 7","0","","","","","CS2105","Research and Statistical Methods I","","720","","","7","2","720","1337","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10144_1886","83780_7","4","1","1","","","","","","","","","","Good text 1","Bad text 11","1","","","","","CN3108","Malays - Tradition, Conflict and Change","","720","","","7","2","720","1399","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10144_1886","91884_96","3","3","3","","","","","","","","","","Good text 8","Bad text 4","0","","","","","MKT1003","Management And Organisation","","720","","","7","2","720","1020","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10150_415","39486_39","4","3","1","","","","","","","","","","Good text 2","Bad text 3","1","Awesome text 7","","","","LAT1201","Investment Analysis and Portfolio Management","","630","","","6","3","630","1663","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10150_415","75334_38","1","2","1","","","","","","","","","","","Bad text 6","0","","","","","CM2121","Analytical Chemistry 1","","630","","","6","3","630","1512","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10150_415","93642_10","2","5","2","","","","","","","","","","Good text 11","Bad text 12","1","","","","","SC1101E","Physics IE","","630","","","6","3","630","1079","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10150_415","99984_30","1","2","2","","","","","","","","","","Good text 6","Bad text 4","1","","","","","SSS1207","Physics in the Life Sciences","","630","","","6","3","630","1666","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10150_415","51900_26","1","2","5","","","","","","","","","","Good text 2","Bad text 4","1","","","","","LSM2191","Japanese 4","","630","","","6","3","630","2786","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10150_415","82171_23","4","5","1","","","","","","","","","","Good text 1","Bad text 9","0","Awesome text 3","","","","GL1101E","Public Finance","","630","","","6","3","630","12337","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10150_415","45504_18","1","2","4","","","","","","","","","","Good text 3","Bad text 1","0","Awesome text 8","","","","CN2125","Microbiology","","630","","","6","3","630","1908","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10150_415","8218_67","5","1","4","","","","","","","","","","Good text 13","","1","Awesome text 5","","","","PF1101","Bahasa Indonesia 2","","630","","","6","3","630","7239","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10181_1476","34636_55","5","4","3","","","","","","","","","","Good text 9","Bad text 7","0","","","","","MA1104","Numerical Analysis I","","1810","","","18","1","1810","1132","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10181_1476","21087_39","2","5","2","","","","","","","","","","Good text 3","Bad text 1","1","Awesome text 9","","","","NM1101E","Asking Questions","","1810","","","18","1","1810","1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10181_1476","63789_95","2","2","5","","","","","","","","","","Good text 13","Bad text 2","0","","","","","GEM2900","General and Physical Chemistry for Engineers","","1810","","","18","1","1810","1099","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10181_1476","41888_33","5","3","5","","","","","","","","","","Good text 2","Bad text 12","1","","","","","MA1511","Differential Equations for Engineering","","1810","","","18","1","1810","1119","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10181_1476","93596_53","4","2","4","","","","","","","","","","Good text 5","Bad text 8","1","","","","","ACC1002X","Roots and Wings - Personal and Interpersonal Effectiveness 1.0","","1810","","","18","1","1810","1281","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10181_1476","83100_45","3","3","5","","","","","","","","","","Good text 5","Bad text 9","0","","","","","ACC1002X","Roots and Wings - Personal and Interpersonal Effectiveness 1.0","","1810","","","18","1","1810","1698","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10181_1476","15602_72","2","1","2","","","","","","","","","","Good text 9","Bad text 10","1","","","","","EG1109","Computer Organisation","","1810","","","18","1","1810","8504","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10202_662","14390_70","3","3","4","","","","","","","","","","Good text 11","Bad text 12","0","","","","","NM1101E","Asking Questions","","1220","","","12","2","1220","1604","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10202_662","24775_39","1","5","2","","","","","","","","","","Good text 11","Bad text 12","0","","","","","LC3001A","Global Issues","","1220","","","12","2","1220","3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10202_662","69362_55","4","2","2","","","","","","","","","","Good text 9","Bad text 11","1","","","","","AR5321","Experiments in Chemistry 2","","1220","","","12","2","1220","2166","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10202_662","13421_71","3","5","1","","","","","","","","","","Good text 7","Bad text 9","0","Awesome text 11","","","","EC1101E","Changing Landscapes of Singapore","","1220","","","12","2","1220","1016","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10202_662","52944_84","4","1","3","","","","","","","","","","","Bad text 5","1","","","","","MKT1003X","Biochemistry of Biomolecules","","1220","","","12","2","1220","1107","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10202_662","72171_71","3","1","5","","","","","","","","","","Good text 6","Bad text 12","0","Awesome text 13","","","","EE2012","Mathematical Analysis I","","1220","","","12","2","1220","8475","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10202_662","52769_53","2","2","2","","","","","","","","","","Good text 6","Bad text 7","0","Awesome text 8","","","","ST2131","Cell Biology","","1220","","","12","2","1220","1021","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10202_662","79259_9","4","1","5","","","","","","","","","","Good text 1","Bad text 11","0","","","","","ST3131","Chemical Kinetics & Reactor Design","","1220","","","12","2","1220","1281","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10207_1508","51829_80","3","2","5","","","","","","","","","","Good text 5","Bad text 1","1","Awesome text 7","","","","CFG1010","Engineering Professionalism","","1510","","","15","1","1510","1044","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10207_1508","56492_7","5","3","3","","","","","","","","","","Good text 7","Bad text 5","0","","","","","BSP1005","Physics IIE","","1510","","","15","1","1510","1049","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10207_1508","26632_97","1","4","5","","","","","","","","","","Good text 10","Bad text 4","0","Awesome text 7","","","","CS1231","Nation-Building in Singapore","","1510","","","15","1","1510","13540","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10207_1508","10345_77","1","1","1","","","","","","","","","","Good text 4","Bad text 13","0","","","","","EC3304","Biological Psychology","","1510","","","15","1","1510","1800","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10207_1508","71521_92","2","3","1","","","","","","","","","","Good text 7","Bad text 8","1","Awesome text 1","","","","LC2007","Communicating Engineering","","1510","","","15","1","1510","1135","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10207_1508","26041_18","1","3","3","","","","","","","","","","Good text 8","","0","Awesome text 6","","","","CFG1010","Engineering Professionalism","","1510","","","15","1","1510","1522","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10207_1508","55907_76","2","4","1","","","","","","","","","","Good text 9","Bad text 9","1","Awesome text 2","","","","LSM1101","Communications, New Media and Society","","1510","","","15","1","1510","1578","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10208_1700","24008_68","5","3","1","","","","","","","","","","Good text 11","Bad text 7","1","Awesome text 2","","","","MA1506","Mathematics II","","1020","","","10","2","1020","2075","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10208_1700","42634_85","2","5","2","","","","","","","","","","Good text 1","Bad text 1","1","","","","","EG2401","Principles of Economics","","1020","","","10","2","1020","1039","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10208_1700","71573_58","4","5","1","","","","","","","","","","Good text 12","Bad text 13","0","","","","","SC2220","Development Economics I","","1020","","","10","2","1020","2037","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10208_1700","61988_27","2","5","4","","","","","","","","","","Good text 11","Bad text 10","1","","","","","ACC2002","Introduction to Economic Analysis","","1020","","","10","2","1020","1470","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10208_1700","92358_47","5","1","1","","","","","","","","","","Good text 7","Bad text 1","1","Awesome text 11","","","","LAJ1201","DOCTORAL SEMINARS","","1020","","","10","2","1020","1571","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10208_1700","24882_89","5","2","1","","","","","","","","","","Good text 12","Bad text 10","1","","","","","LAJ1201","DOCTORAL SEMINARS","","1020","","","10","2","1020","1003","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10208_1700","90072_59","4","1","4","","","","","","","","","","Good text 1","Bad text 5","1","Awesome text 7","","","","SN1101E","Government and Politics of Singapore","","1020","","","10","2","1020","4447","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10297_70","90434_85","4","5","5","","","","","","","","","","Good text 6","Bad text 13","1","Awesome text 10","","","","CL1101E","Separation Processes","","1010","","","10","1","1010","12673","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10297_70","95688_22","1","1","4","","","","","","","","","","Good text 4","Bad text 6","1","Awesome text 10","","","","PR2102","Project Scheduling and Control","","1010","","","10","1","1010","1053","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10297_70","97937_59","3","1","2","","","","","","","","","","Good text 11","Bad text 13","0","","","","","CM1121","Database Systems","","1010","","","10","1","1010","1039","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10297_70","19884_99","3","4","5","","","","","","","","","","Good text 6","Bad text 3","0","Awesome text 8","","","","CS2102","Mechanics Of Machines","","1010","","","10","1","1010","1185","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10297_70","13931_78","1","2","4","","","","","","","","","","Good text 10","","1","","","","","ME2134","Engineering Thermodynamics","","1010","","","10","1","1010","4447","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10297_70","23189_92","1","2","2","","","","","","","","","","Good text 10","Bad text 12","1","Awesome text 8","","","","PS1101E","StepUp Module (A Career Development Programme)","","1010","","","10","1","1010","1661","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10297_70","86926_78","1","2","5","","","","","","","","","","","","0","","","","","CS1010S","Law Of Contract","","1010","","","10","1","1010","1129","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10297_70","57068_77","4","2","4","","","","","","","","","","Good text 13","Bad text 7","1","","","","","EE2024","Reason and Persuasion","","1010","","","10","1","1010","1292","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10340_1141","13252_9","1","5","5","","","","","","","","","","Good text 6","","0","","","","","PR2202","Construction Project Management","","1020","","","10","2","1020","2064","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10340_1141","452_36","4","2","1","","","","","","","","","","Good text 7","Bad text 5","0","","","","","EE2024","Reason and Persuasion","","1020","","","10","2","1020","2288","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10340_1141","96832_91","5","4","4","","","","","","","","","","Good text 7","Bad text 9","1","Awesome text 12","","","","MA2213","Fluid Mechanics","","1020","","","10","2","1020","1144","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10340_1141","66280_44","3","4","3","","","","","","","","","","Good text 6","Bad text 12","0","Awesome text 2","","","","LSM2251","Corporate Finance","","1020","","","10","2","1020","5646","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10340_1141","56277_56","1","1","1","","","","","","","","","","Good text 13","Bad text 9","0","","","","","SC2211","Graduate Research Seminar and Workshop","","1020","","","10","2","1020","1322","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
