token,m1,m2,m3,m4c,m5c,mlo1_qbtitle,mlo1_qbid,mlo1_qbresp,mlo2_qbtitle,mlo2_qbid,mlo2_qbresp,mlo3_qbtitle,mlo3_qbid,mlo3_qbresp,mlo4_qbtitle,mlo4_qbid,mlo4_qbresp,mlo5_qbtitle,mlo5_qbid,mlo5_qbresp,mlo6_qbtitle,mlo6_qbid,mlo6_qbresp,mlo7_qbtitle,mlo7_qbid,mlo7_qbresp,mod_subjectid,mod_class_id,mod_class_name,mod_transformed,mod_term,mod_evaluation_start_date,mod_evaluation_end_date,mod_ay,mod_sem,mod_rptterm,mod_module_code,mod_activity_code,mod_activity_type,mod_class_no,mod_activity_code_report,mod_rpt_activity_type,mod_module_name,mod_crseid,mod_faculty_code,mod_faculty,mod_dept_code,mod_department,mod_evaluate_class_option,mod_year_long_module,mod_level,mod_rptfaccd,mod_rptfacdesc,mod_dept_average_by_activity,mod_rptdeptavgactivitydesc,mod_dept_average_by_activity_and_level,mod_rptdeptavgactivitylvldesc,mod_faculty_average_by_activity,mod_rptfacavgactivitydesc,mod_faculty_average_by_activity_and_level,mod_rptfacavgactivitylvldesc,mod_isismoddeptcd,mod_isismodfaccd,mod_merge_classid,mod_common_name
10065_1267,4,5,4,Good text 4,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,LAJ2201,Managerial Accounting,,1120,,,11,2,1120,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065_1267,3,1,5,Good text 3,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,PC1432,Japanese 1,,1120,,,11,2,1120,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065_1267,3,4,1,Good text 5,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,MA1104,Numerical Analysis I,,1120,,,11,2,1120,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065_1267,2,3,3,Good text 10,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,MA1421,Fundamentals of Physics I,,1120,,,11,2,1120,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065_1267,3,4,3,Good text 4,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,MD1140,Bridging East and West: Exploring Chinese Communication,,1120,,,11,2,1120,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065_1267,1,5,1,Good text 3,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,LC1004,Asia and the Modern World,,1120,,,11,2,1120,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010_66,2,4,2,Good text 5,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,ME2113,Money and Banking I,,610,,,6,1,610,1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010_66,1,4,1,Good text 11,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,LSM3212,Engineering Electromagnetics,,610,,,6,1,610,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010_66,2,4,3,Good text 1,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,SC2204,Systems Design Project,,610,,,6,1,610,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010_66,3,1,5,Good text 8,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,MA1505,Quantitative Reasoning,,610,,,6,1,610,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010_66,1,4,2,,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,CFG1000,Strength of Materials,,610,,,6,1,610,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010_66,3,4,1,Good text 1,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,EE2005,Cosmetics & Perfumes,,610,,,6,1,610,2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010_66,5,1,5,Good text 5,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,DP1001,Mathematics I,,610,,,6,1,610,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010_66,4,3,2,Good text 1,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,CM2102,Basic Pharmacology,,610,,,6,1,610,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112_1428,1,3,4,Good text 10,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,IS1105,Visualisation in Design and Technology,,1210,,,12,1,1210,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112_1428,1,1,1,Good text 2,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,SC2215,Physics for Electrical Engineers,,1210,,,12,1,1210,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112_1428,2,2,5,Good text 5,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,SSA2215,Data Structures and Algorithms II,,1210,,,12,1,1210,15558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112_1428,3,3,2,Good text 5,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,EC1101E,Changing Landscapes of Singapore,,1210,,,12,1,1210,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112_1428,4,5,3,Good text 12,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,PR2202,Construction Project Management,,1210,,,12,1,1210,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112_1428,2,4,5,Good text 11,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,ME2112,Clean Energy and Storage,,1210,,,12,1,1210,13540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112_1428,3,3,3,Good text 9,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,PX3108,Singapore Film: Performance of Identity,,1210,,,12,1,1210,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137_1160,2,4,3,Good text 7,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,GE2204,Introduction to Circuits and Systems,,1310,,,13,1,1310,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137_1160,3,2,1,Good text 10,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,FAS1101,Financial Economics I,,1310,,,13,1,1310,1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137_1160,3,4,4,Good text 4,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,HR2002,HeadStart Module (A Career Development Programme),,1310,,,13,1,1310,1398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137_1160,2,5,3,Good text 3,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,CM2102,Basic Pharmacology,,1310,,,13,1,1310,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137_1160,4,3,3,Good text 5,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,GER1000,Programming Methodology,,1310,,,13,1,1310,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137_1160,1,1,3,Good text 5,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,CM2101,Chinese Language: Its Past and Present,,1310,,,13,1,1310,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137_1160,1,2,4,Good text 13,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,MA1506,Mathematics II,,1310,,,13,1,1310,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144_1886,2,4,4,Good text 8,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,PC1431,NUS Data Protection & PDPA Guidelines,,720,,,7,2,720,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144_1886,3,2,4,Good text 1,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,LAJ1201,DOCTORAL SEMINARS,,720,,,7,2,720,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144_1886,2,3,3,Good text 7,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,PR3102,Understanding and Critiquing Sustainability,,720,,,7,2,720,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144_1886,3,5,2,Good text 13,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,EC1101E,Changing Landscapes of Singapore,,720,,,7,2,720,12337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144_1886,2,2,5,Good text 12,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,CS2105,Research and Statistical Methods I,,720,,,7,2,720,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144_1886,5,4,2,Good text 7,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,CN3108,"Malays - Tradition, Conflict and Change",,720,,,7,2,720,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144_1886,3,2,2,Good text 1,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,MKT1003,Management And Organisation,,720,,,7,2,720,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150_415,2,3,3,Good text 10,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,LAT1201,Investment Analysis and Portfolio Management,,630,,,6,3,630,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150_415,4,2,5,Good text 4,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,CM2121,Analytical Chemistry 1,,630,,,6,3,630,1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150_415,5,2,4,Good text 12,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,SC1101E,Physics IE,,630,,,6,3,630,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150_415,4,1,5,Good text 6,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,SSS1207,Physics in the Life Sciences,,630,,,6,3,630,1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150_415,4,2,1,Good text 11,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,LSM2191,Japanese 4,,630,,,6,3,630,2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150_415,2,4,2,Good text 13,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,GL1101E,Public Finance,,630,,,6,3,630,12337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150_415,4,5,2,Good text 10,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,CN2125,Microbiology,,630,,,6,3,630,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150_415,5,2,5,Good text 4,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,PF1101,Bahasa Indonesia 2,,630,,,6,3,630,7239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181_1476,1,5,2,,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,MA1104,Numerical Analysis I,,1810,,,18,1,1810,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181_1476,1,5,1,Good text 12,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,NM1101E,Asking Questions,,1810,,,18,1,1810,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181_1476,4,2,1,Good text 6,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,GEM2900,General and Physical Chemistry for Engineers,,1810,,,18,1,1810,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181_1476,3,5,2,Good text 3,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,MA1511,Differential Equations for Engineering,,1810,,,18,1,1810,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181_1476,5,5,2,Good text 11,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,,1810,,,18,1,1810,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181_1476,2,5,3,Good text 13,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,,1810,,,18,1,1810,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181_1476,4,2,2,Good text 2,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,EG1109,Computer Organisation,,1810,,,18,1,1810,8504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202_662,3,3,4,Good text 7,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,NM1101E,Asking Questions,,1220,,,12,2,1220,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202_662,5,3,2,Good text 9,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,LC3001A,Global Issues,,1220,,,12,2,1220,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202_662,3,1,4,Good text 1,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,AR5321,Experiments in Chemistry 2,,1220,,,12,2,1220,2166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202_662,2,4,1,Good text 3,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,EC1101E,Changing Landscapes of Singapore,,1220,,,12,2,1220,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202_662,1,4,3,Good text 7,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,MKT1003X,Biochemistry of Biomolecules,,1220,,,12,2,1220,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202_662,2,3,4,Good text 10,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,EE2012,Mathematical Analysis I,,1220,,,12,2,1220,8475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202_662,4,3,2,Good text 8,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,ST2131,Cell Biology,,1220,,,12,2,1220,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202_662,3,4,5,Good text 1,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,ST3131,Chemical Kinetics & Reactor Design,,1220,,,12,2,1220,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207_1508,2,1,4,Good text 9,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,CFG1010,Engineering Professionalism,,1510,,,15,1,1510,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207_1508,4,1,4,Good text 3,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,BSP1005,Physics IIE,,1510,,,15,1,1510,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207_1508,5,4,5,Good text 3,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,CS1231,Nation-Building in Singapore,,1510,,,15,1,1510,13540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207_1508,3,4,1,Good text 1,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,EC3304,Biological Psychology,,1510,,,15,1,1510,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207_1508,4,4,3,Good text 11,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,LC2007,Communicating Engineering,,1510,,,15,1,1510,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207_1508,3,5,5,Good text 13,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,CFG1010,Engineering Professionalism,,1510,,,15,1,1510,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207_1508,2,3,4,Good text 12,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,LSM1101,"Communications, New Media and Society",,1510,,,15,1,1510,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208_1700,4,4,3,Good text 3,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,MA1506,Mathematics II,,1020,,,10,2,1020,2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208_1700,2,5,2,Good text 4,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,EG2401,Principles of Economics,,1020,,,10,2,1020,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208_1700,1,5,3,Good text 13,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,SC2220,Development Economics I,,1020,,,10,2,1020,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208_1700,5,5,2,Good text 11,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,ACC2002,Introduction to Economic Analysis,,1020,,,10,2,1020,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208_1700,2,1,1,Good text 3,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,LAJ1201,DOCTORAL SEMINARS,,1020,,,10,2,1020,1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208_1700,2,5,5,Good text 3,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,LAJ1201,DOCTORAL SEMINARS,,1020,,,10,2,1020,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208_1700,5,2,2,Good text 11,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,SN1101E,Government and Politics of Singapore,,1020,,,10,2,1020,4447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297_70,4,3,4,Good text 1,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,CL1101E,Separation Processes,,1010,,,10,1,1010,12673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297_70,1,1,5,Good text 6,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,PR2102,Project Scheduling and Control,,1010,,,10,1,1010,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297_70,1,5,3,Good text 3,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,CM1121,Database Systems,,1010,,,10,1,1010,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297_70,3,2,3,Good text 13,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,CS2102,Mechanics Of Machines,,1010,,,10,1,1010,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297_70,4,4,3,Good text 7,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,ME2134,Engineering Thermodynamics,,1010,,,10,1,1010,4447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297_70,3,5,1,Good text 4,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,PS1101E,StepUp Module (A Career Development Programme),,1010,,,10,1,1010,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297_70,3,2,3,Good text 4,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,CS1010S,Law Of Contract,,1010,,,10,1,1010,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297_70,3,4,3,Good text 4,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,EE2024,Reason and Persuasion,,1010,,,10,1,1010,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340_1141,1,5,5,Good text 5,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,PR2202,Construction Project Management,,1020,,,10,2,1020,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340_1141,2,1,2,Good text 1,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,EE2024,Reason and Persuasion,,1020,,,10,2,1020,2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340_1141,1,5,5,,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,MA2213,Fluid Mechanics,,1020,,,10,2,1020,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340_1141,5,1,1,Good text 3,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,LSM2251,Corporate Finance,,1020,,,10,2,1020,5646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340_1141,3,4,4,Good text 13,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,SC2211,Graduate Research Seminar and Workshop,,1020,,,10,2,1020,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340_1141,4,2,4,Good text 13,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,MA1102R,Southeast Asia: A Changing Region,,1020,,,10,2,1020,4521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340_1141,5,2,5,Good text 3,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,ST2131,Cell Biology,,1020,,,10,2,1020,1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10370_1985,2,1,2,Good text 8,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,MA1101R,Making Sense of Society,,1510,,,15,1,1510,1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
