token,academic_career,term,class_nbr,module_code,course_title,class_group,module_credits,grading_basis,final_grade,earn_credit,requirement_designation,original_letter_grade,final_marks,grade_points,grade_points_per_unit
12727_31,UGRD,1010,1141,MA2213,Fluid Mechanics,T1,4,NON,B-,Y,,B-,73.4,0,0
38347_32,GRAD,1422,1212,CM1501,Critical Thinking And Writing,T7,4,NON,C+,Y,,C+,58,12,3
51880_33,UGRD,910,1020,DSC2006,Managerial Economics,X1,4,GRD,C,Y,,C,71.8,0,0
60085_34,GRAD,1020,2276,ES2007D,Managing Singapore's Built Environment,L1,3,GRD,W,Y,,W,83.9,0,0
17608_35,UGRD,1210,1439,EE2012,Mathematical Analysis I,L1,0,NON,B+,Y,,B+,68,0,0
12614_36,UGRD,1520,1816,GEK1006,Pro Bono Service,TT1,0,NON,C+,Y,,C+,79.6,0,0
11996_37,GRAD,820,1004,CS2010,Abnormal Psychology,E1,0,SNU,,,,,0,0,0
59607_38,GRAD,1020,1826,LSM4243,Enterprise Systems Server-side Design and Development,TST3,4,GRD,D,Y,,D,55,0,0
57801_39,UGRD,1610,1849,EE1001,Environmental Economics,LSL1,0,NON,B,Y,,B,70,20,0
13559_40,UGRD,1110,1124,SC2220,Development Economics I,LSL1,0,GRD,B+,Y,,B+,90.5,0,0
5906_41,GRAD,1410,1385,GEK1006,Pro Bono Service,L1,4,GRD,A-,Y,,A-,0,0,0
4643_42,UGRD,1810,1041,ST2131,Cell Biology,L1,4,NON,B+,Y,,B+,0,0,0
3620_43,UGRD,1110,1072,CL2280,Computer Architecture,E1,0,GRD,A,Y,,A,71.3,0,0
40831_44,GRAD,920,1066,CS2103,Chemical Engineering Thermodynamics,L1,4,GRD,B,Y,,B,68.3,16,4
4421_45,UGRD,620,5189,CS2102,Mechanics Of Machines,T1,0,GRD,,,,,72.1,0,0
39597_46,UGRD,1610,1773,NCC1000,Metabolism and Regulation,L2,0,GRD,,,,,70.6,0,0
44867_47,GRAD,1730,1118,LSM2241,Advanced Experiments In Analytical & Physical Chemistry,T2D,4,NON,B+,Y,,B+,60.7,0,0
34951_48,UMED,910,1603,PL3233,Fundamentals Of Mechanical Design,T2E,0,GRD,B,Y,,B,0,0,0
52037_49,UGRD,1010,1002,NM2216,CORPORATE STRATEGY,L1,0,NOT,B,Y,,B,65.5,12,0
49018_50,GRAD,1700,1800,MA1511,Differential Equations for Engineering,L1,0,NON,B+,Y,,B+,0,16,0
52637_51,GRAD,1020,1031,GEK1527,Legal Environment Of Business,E1,0,GRD,B,Y,,B,88,0,0
38942_52,UGRD,1640,1256,FAS1102,Introduction to Computing,TT0,0,NON,B-,Y,,B-,0,0,0
14807_53,GRAD,1120,1005,GEK1900,World Religions,L1,4,GRD,,,,,67,0,0
5870_54,UGRD,910,1243,LSM3212,Engineering Electromagnetics,L1,4,NON,B-,Y,,B-,55,0,0
44514_55,UGRD,1220,1766,NM3219,Information Systems Applications,BSB1,5,GRD,B,Y,,B,79,0,0
41705_56,UGRD,920,13540,EC3303,Bahasa Indonesia 1,E1,4,GRD,B-,Y,,B-,85.1,0,0
17136_57,UGRD,910,1354,CN2125,Microbiology,T3,0,NON,,,,,0,0,0
14219_58,UGRD,910,1627,ME3122,Sensors & Actuators,LL1,4,GRD,CS,Y,,CS,77.7,8,2
43160_59,UGRD,1140,15554,EE2031,Animal Behaviour,L1,4,CSU,,,,,73.8,0,0
25886_60,GRAD,1320,1275,LAJ2201,Managerial Accounting,L1,0,GRD,B,Y,,B,70.4,10,0
24177_61,GRAD,620,1663,EN1101E,Theories of Communications and New Media,TE2,0,GRD,,,,,83,20,0
51677_62,GRAD,1220,13540,MA1421,Fundamentals of Physics I,)SL1,4,GRD,CS,Y,,CS,63.5,18,4.5
57399_63,UGRD,1410,1826,EE6999,The Biophysical Environment of Singapore,T5,5,NON,,,,,100,16,3.2
37627_64,UGRD,1220,1072,CS3241,Digital Design,L2,4,PNF,S,Y,,S,0,25,6.25
51807_65,UGRD,1010,1034,PC1431,NUS Data Protection & PDPA Guidelines,L1,4,GRD,B+,Y,,B+,0,0,0
1010_66,GRAD,610,1582,ME2113,Money and Banking I,TD1,4,GRD,A,Y,,A,0,0,0
50822_67,UGRD,620,1076,PC1326,French 2,LSL1,4,GRD,,,,,0,0,0
9460_68,UGRD,1730,1683,IT1005,Basic Applied Mathematics for Sciences,S1,0,GRD,,,,,86.4,16,0
59291_69,UGRD,1810,1147,MA1301,Molecular Biology,TW3,4,GRD,B,Y,,B,0,12,3
10297_70,GRAD,1010,12673,CL1101E,Separation Processes,L1,4,GRD,B+,Y,,B+,72.1,10.5,2.625
19643_71,GRAD,1610,10592,MLE1101,Human Capital in Organizations,L1,0,GRD,S,Y,,S,72,0,0
19074_72,NGRD,1310,2132,MA1421,Fundamentals of Physics I,L1,4,GRD,B,Y,,B,75,0,0
823_73,GRAD,1210,1196,MA1506,Mathematics II,LX1,0,NON,B,Y,,B,0,12,0
27500_74,UGRD,1720,1360,GET1008,Contemporary Social Issues in Singapore,LALL,0,NON,B+,Y,,B+,66.6,0,0
42358_75,GRAD,1530,2209,PC1431,NUS Data Protection & PDPA Guidelines,TD1,4,GRD,B-,Y,,B-,0,0,0
4611_76,UGRD,1010,1112,CN3135,Simulation,L1,3,GRD,,,,,0,0,0
61257_77,UGRD,1520,1406,NM1101E,Asking Questions,L1,5,NON,,,,,77.1,10,2
4125_78,GRAD,720,1739,CS1231,Nation-Building in Singapore,TT01,4,GRD,A,Y,,A,0,8,2
61360_79,GRAD,1720,1019,SSS1207,Physics in the Life Sciences,L3,8,GRD,IP,Y,,IP,60,20,2.5
23607_80,NGRD,1010,4096,ME2135,Digital Fundamentals,L1,4,GRD,B,Y,,B,80.5,0,0
22188_81,GRAD,1510,1281,CS1010E,Principles of Marketing,L1,0,NON,B,Y,,B,72.1,0,0
51056_82,UGRD,1520,2016,TS1101E,Research and Statistical Methods II,L1,0,GRD,S,Y,,S,80,20,0
43143_83,GRAD,1710,2621,NM2209,Advertising Strategies,L1,4,NON,C+,Y,,C+,78.5,16,4
20710_84,UGRD,820,1037,LC2009,Inorganic Chemistry 2,L1,4,GRD,A-,Y,,A-,76.8,0,0
36698_85,UGRD,1020,1375,EC2101,The Nature of Language,L1,4,SNU,,,,,0,0,0
44501_86,UGRD,1020,1184,ACC2002,Introduction to Economic Analysis,L1,4,GRD,B,Y,,B,0,14,3.5
37666_87,UGRD,1710,1800,BSP1004,Probability,LP1,1,NON,A,Y,,A,81.1,16,16
53721_88,UGRD,1620,1326,GER1000,Programming Methodology,T1,4,NON,,,,,0,10,2.5
6255_89,UGRD,610,1081,GEK1521,Professional Communication,TT3,0,NON,B,Y,,B,0,14,0
20197_90,UGRD,1730,1254,CM1131,Malay 1,LSL1,5,GRD,,,,,86.8,16,3.2
60631_91,UGRD,920,1571,PS3249,Communications and New Media Research,LF1,4,NON,A-,Y,,A-,80.3,0,0
45838_92,UGRD,1520,12337,EG2401,Principles of Economics,BSB1,0,SNU,A,Y,,A,0,0,0
32480_93,UGRD,1030,1054,MA1506,Mathematics II,L1,0,NON,CS,Y,,CS,0,20,0
41048_94,GRAD,720,1094,EE2007,Geopolitics:Geographies of War & Peace,TE4,4,SNU,B,Y,,B,88,12,3
50535_95,GRAD,920,1019,PH1102E,"Legal Analysis, Research & Communication",SG03,5,SNU,A,Y,,A,0,0,0
50205_96,UGRD,1800,1787,CM2101,Chinese Language: Its Past and Present,LSL1,0,GRD,,,,,75.5,0,0
56090_97,GRAD,1010,1248,MA3252,GRADUATE SEMINARS,L1,5,GRD,S,Y,,S,75.4,6,1.2
56130_98,GRAD,820,5941,ST2131,Cell Biology,T7,3,NON,B+,Y,C1,B+,69,14,4.66666667
18602_99,GRAD,1320,1251,DP1001,Mathematics I,TD1,4,GRD,C+,Y,,C+,0,0,0
59552_100,UGRD,1520,1594,LSM1104,Feedback Control Systems,L1,4,NON,,,,,71,16,4
27884_101,UGRD,1720,1431,SSA2204,Fundamentals of Biochemistry,TC03,0,GRD,,,,,0,20,0
62444_102,GRAD,1110,1243,ME6999,Quality Engineering I,BSB1,4,GRD,,,,,54.6,0,0
23028_103,GRAD,1620,1052,EC2101,The Nature of Language,L1,4,NON,,,,,85.8,16,4
3191_104,UGRD,610,1228,GEK1508,Calculus for Computing,L1,0,GRD,A,Y,,A,0,2.5,0
1463_105,UGRD,720,1040,PC1432,Japanese 1,L1,0,NON,,,,,71.9,0,0
45173_106,UGRD,1420,15554,PR4104,Dynamics of Interpersonal Effectiveness,TW4,4,GRD,B+,Y,,B+,79.6,0,0
5039_107,UGRD,1620,1068,EE2011,Bachelor Of Engineering Dissertation,TW14,4,GRD,S,Y,,S,0,0,0
50495_108,UGRD,620,1090,BSP1004,Probability,TT02,4,GRD,C,Y,,C,66.3,20,5
20668_109,GRAD,930,1919,EE2012,Mathematical Analysis I,L1,0,NON,C+,Y,,C+,56,14,0
2931_110,UGRD,510,1612,MA1505,Quantitative Reasoning,LB,0,GRD,,,,,0,16,0
49955_111,UGRD,510,1017,EC3332,An Introduction to Literary Studies,L1,4,GRD,C,Y,,C,79.1,0,0
55373_112,UGRD,1630,1256,SSA2220T,Cyber Security,T2,4,NON,,,,,0,0,0
57364_113,UGRD,610,1008,LAF2201,Introduction to Modern Physics,T2B,0,GRD,B-,Y,,B-,0,0,0
52478_114,GRAD,1420,15257,GE1101E,General Physiology,L1,0,NON,B+,Y,,B+,0,10,0
22910_115,UGRD,1510,1085,CE2409,Electronics,T11,0,NON,,,,,0,16,0
32333_116,GRAD,1010,15558,EE2031,Animal Behaviour,L1,0,NON,C,Y,,C,0,0,0
23528_117,UGRD,1210,1065,GEH1049,Strategic Management,L1,0,NON,,,,,88.8,20,0
13016_118,UGRD,1310,15558,EC3102,Manufacturing Processes,TW2,0,GRD,C+,Y,,C+,84.1,0,0
45673_119,UGRD,1620,1133,MA2213,Fluid Mechanics,L1,0,GRD,IP,Y,,IP,59.5,0,0
2149_120,UGRD,720,1548,CM2121,Analytical Chemistry 1,L1,0,GRD,A,Y,,A,77,14,0
2233_121,GRAD,1320,1385,EC2101,The Nature of Language,L1,4,NON,IP,Y,,IP,0,0,0
14851_122,UGRD,1710,1249,ST2137,Sociology of Deviance,TE10,4,GRD,A-,Y,,A-,0,16,4
3713_123,UGRD,1120,1180,EC2101,The Nature of Language,LF1,4,GRD,B-,Y,,B-,65.5,14,3.5
61216_124,UGRD,510,1039,EE6999,The Biophysical Environment of Singapore,L1,4,NON,,,,,57,60,15
20966_125,UGRD,1420,1010,CN4122,Industrial Organisation I,LX2,4,GRD,,,,,59.9,14,3.5
47890_126,UGRD,1320,5646,DSC1007,Process Modeling And Numerical Simulation,T6,0,GRD,,,,,77.8,0,0
49028_127,GRAD,1110,1849,CS1101C,Business Communication for Leaders (BBA),LSL1,12,NON,P,Y,,P,83.7,10,0.83333333
32859_128,UGRD,1610,15554,SSA2215,Data Structures and Algorithms II,L1,4,NON,IP,Y,,IP,0,18,4.5
52269_129,GRAD,1020,1306,CE3165,Assurance and Attestation,E1,4,GRD,B+,Y,,B+,70,0,0
2257_130,UGRD,420,3474,EC2104,Chemistry for Life Sciences,L1,4,GRD,,,,,63,0,0
55986_131,UGRD,1620,1041,EC2102,Understanding the Universe,LSL1,0,GRD,,,,,67.9,12,0
41432_132,UGRD,710,1065,SC2218,Maternal and Child Health Nursing,L1,0,GRD,,,,,0,0,0
38375_133,NGRD,1720,1987,DP1001,Mathematics I,TD21,0,GRD,A,Y,,A,69.1,0,0
25208_134,UGRD,1710,1250,CS1010E,Principles of Marketing,~DE4,4,GRD,,,,,0,18,4.5
42117_135,GRAD,1720,1022,CH1101E,Management Science,T13,4,SNU,,,,,82.8,0,0
41060_136,UGRD,920,1088,CM1121,Database Systems,L8,4,NON,C,Y,,C,69,0,0
29482_137,UGRD,1520,1511,LAC1201,Social Psychology,TW1,4,NON,C+,Y,,C+,77.7,16,4
45192_138,UGRD,910,1203,EC2303,Science of Music,L1,3,GRD,,,,,0,0,0
43132_139,UMED,1710,1015,CS1010E,Principles of Marketing,TW08,4,CSU,S,Y,,S,0,14,3.5
28426_140,UGRD,1420,1276,EG3611,Computer Applications in Civil Engineering,L1,4,NON,,,,,0,16,4
62178_141,UGRD,710,5729,LSM4243,Enterprise Systems Server-side Design and Development,L1,4,GRD,S,Y,,S,0,0,0
2949_142,GRAD,1510,1076,EC3333,Mechanics Of Materials I,L1,0,GRD,B+,Y,,B+,52,16,0
39429_143,UGRD,1420,1024,MA2213,Fluid Mechanics,L1,4,NON,A-,Y,,A-,72.5,16,4
148_144,UGRD,1220,1192,ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,TD3,4,NOT,,,,,91.1,0,0
41723_145,UGRD,630,1622,LSM2101,Statics And Mechanics Of Materials,LSL1,0,GRD,,,,,63.6,14,0
32708_146,GRAD,1810,7780,BFS1001,Methods of Social Research,L10,0,SNU,A-,Y,,A-,0,0,0
37227_147,GRAD,1530,1392,CM1131,Malay 1,L1,4,GRD,B+,Y,,B+,78.6,0,0
45550_148,GRAD,1110,1536,LSM1401,Data Structures and Algorithms I,L2,4,GRD,A,Y,,A,0,0,0
25525_149,UGRD,1110,1146,PR2104,Musical Concepts and Materials II,TA13,4,GRD,F,N,,F,56.4,0,0
18463_150,GRAD,1610,1189,PC1144,Engineering Mathematics II,LSL1,0,NON,,,,,0,16,0
32628_151,UGRD,1100,1013,GES1028,Introduction to Electricity & Magnetism,BSB1,4,GRD,,,,,0,14,3.5
14785_152,GRAD,1220,1697,NM2209,Advertising Strategies,LSL1,2,GRD,A-,Y,,A-,0,0,0
4529_153,UGRD,1000,1113,LSM1104,Feedback Control Systems,LSL1,0,GRD,,,,,70.3,0,0
15228_154,UGRD,1010,1323,BSP2005,Introduction to Statistics,E1,0,NON,B,Y,,B,0,0,0
35759_155,GRAD,1520,1125,PL1101E,Electrical Engineering,TE3,4,NON,,,,,73.4,0,0
31391_156,GRAD,1323,1781,ACC2002,Introduction to Economic Analysis,LD3,0,GRD,A,Y,,A,64.5,20,0
13479_157,GRAD,1120,1582,LC1003,Organic Chemistry for Engineers,TW1,4,NON,,,,,0,22.5,5.625
43700_158,UGRD,1130,2892,GEK1007,Culture Industries,LD3,4,GRD,A+,Y,,A+,0,0,0
48722_159,UGRD,1620,1279,MKT1003X,Biochemistry of Biomolecules,TT4,4,GRD,C+,Y,,C+,0,12,3
47388_160,GRAD,1130,1041,IT1001,Introduction to Theatre and Performance,SD3,4,GRD,B,Y,,B,69.3,16,4
14826_161,UGRD,810,1129,CS1101,Childhood and Youth,L1,4,NON,,,,,57.8,0,0
56889_162,UGRD,1220,1697,ME3162,Data Structures and Algorithms,L1,4,NON,S,Y,,S,84.1,18,4.5
36518_163,UGRD,820,1037,BSP1005,Physics IIE,L1,4,NON,B+,Y,,B+,70.6,12,3
40294_164,UGRD,1610,2209,SSS1207,Physics in the Life Sciences,D3,2,GRD,,,,,59.3,16,8
28955_165,UGRD,1210,1787,CS1102,Mechanical Systems Design,L1,0,GRD,A,Y,,A,70.3,8,0
49690_166,UGRD,940,2014,LAF1201,Human Physiology: Cardiopulmonary System,TD3,4,GRD,AUD,Y,,AUD,78.2,20,5
33261_167,UGRD,1520,1062,MDG5108,PROPERTY AND FACILITIES MANAGEMENT,E1,4,GRD,,,,,76.8,0,0
8820_168,UMED,1110,4096,GEM2900,General and Physical Chemistry for Engineers,SG2,4,GRD,B+,Y,,B+,0,0,0
40709_169,UGRD,640,1024,DSC2008,Natural Heritage of Singapore,LSL1,4,GRD,S,Y,,S,0,16,4
21295_170,UGRD,620,1990,LSM3212,Engineering Electromagnetics,L1,5,NON,,,,,76.6,18,3.6
62173_171,GRAD,1720,1323,CS1231,Nation-Building in Singapore,L1,4,GRD,B+,Y,,B+,71.6,0,0
49602_172,NGRD,920,1104,CS1101C,Business Communication for Leaders (BBA),BB5,4,GRD,,,,,73.2,0,0
12567_173,GRAD,810,5646,LAJ2201,Managerial Accounting,LP1,12,NON,,,,,63.5,20,1.66666667
15347_174,UGRD,1720,1508,ES5002,Drugs and Society,L1,0,GRD,,,,,0,20,0
40338_175,UGRD,1510,1318,EG1471,Professional and Academic Communication,L1,4,NOT,S,Y,,S,0,10.5,2.625
34129_176,UGRD,1110,1695,EG1413,Introduction to Operating Systems,L9,0,GRD,,,,,0,12,0
55206_177,UGRD,1310,15257,EE2012,Mathematical Analysis I,L2,0,NON,B+,Y,,B+,0,0,0
14099_178,UGRD,720,1090,GE1101E,General Physiology,SB1,4,GRD,B-,Y,,B-,70.5,18,4.5
56787_179,UGRD,1310,1378,EC3333,Mechanics Of Materials I,L1,4,GRD,S,Y,,S,0,9,2.25
9644_180,UGRD,1610,2621,LSM1104,Feedback Control Systems,LALL,4,GRD,A-,Y,,A-,57.3,14,3.5
53752_181,GRAD,1610,1631,ME3102,Honours Thesis,L1,4,GRD,B+,Y,,B+,0,0,0
27335_182,UGRD,1810,1810,GER1000,Programming Methodology,L1,4,GRD,B+,Y,,B+,0,0,0
6582_183,UGRD,1310,1382,EC3351,FINANCIAL ACCOUNTING,E1,4,NON,D+,Y,,D+,80.8,60,15
8539_184,UGRD,1120,1039,CS2100,The Evolution of a Global City-State,L1,8,GRD,,,,,64,0,0
11455_185,GRAD,1320,1233,CM2101,Chinese Language: Its Past and Present,SS1,4,GRD,,,,,55.2,0,0
16773_186,NGRD,1710,1013,EC3351,FINANCIAL ACCOUNTING,L1,4,GRD,,,,,70.5,18,4.5
34596_187,UGRD,910,1362,CN3132,Introduction to Programming with Matlab,L1,4,GRD,A,Y,,A,79.3,0,0
9768_188,UGRD,1410,1022,DP1001,Mathematics I,L1,3,GRD,B,Y,,B,58.6,0,0
57037_189,GRAD,1320,1107,LSM1103,Principles of Mechanical Eng. Materials,L1,0,NON,A-,Y,,A-,68.6,16,0
46625_190,UGRD,1220,2732,PS2249,Signals,TE2,8,GRD,,,,,74.2,18,2.25
57571_191,GRAD,1810,1259,ME2101,Forensic Science,L1,4,NON,B-,Y,,B-,80,20,5
43536_192,UGRD,910,1014,PC1432,Japanese 1,L1,0,GRD,,,,,0,22.5,0
28549_193,UGRD,810,1212,GER1000,Programming Methodology,)SL1,0,GRD,,,,,73.6,18,0
57444_194,UGRD,1110,1105,MA3110,Microprocessor Systems,LSL1,0,GRD,B,Y,,B,0,20,0
19229_195,GRAD,1530,1437,CS2010,Abnormal Psychology,TD10,0,GRD,,,,,78.5,14,0
12980_196,UGRD,820,1644,IS2102,Anthropology and the Human Condition,L1,4,GRD,B,Y,,B,78.6,0,0
9044_197,UGRD,1810,1908,ES2002,Fluid Mechanics I,T2,1,GRD,,,,,78.8,21,21
47804_198,UGRD,1510,1013,DP1001,Mathematics I,LSL1,5,GRD,B,Y,,B,41,0,0
32577_199,UDEN,1810,1293,PC1432,Japanese 1,TW12,4,GRD,,,,,0,18,4.5
30093_200,GRAD,1010,8504,MA2213,Fluid Mechanics,LSL1,8,GRD,,,,,0,0,0
18914_201,UGRD,910,1126,ME2113,Money and Banking I,D1,4,GRD,B,Y,,B,46,4,1
31324_202,GRAD,910,1275,PC1431,NUS Data Protection & PDPA Guidelines,L1,5,NON,IP,Y,,IP,76.8,0,0
38544_203,UGRD,1220,1420,CM3292,Global Economic Dimensions of Singapore,L1,5,GRD,B-,Y,,B-,89.2,0,0
6568_204,GRAD,1410,1031,MA1506,Mathematics II,L1,0,NON,A+,Y,,A+,0,16,0
9897_205,UGRD,1220,1011,ME2135,Digital Fundamentals,LSL1,4,GRD,B-,Y,,B-,0,16,4
44840_206,NGRD,1010,1052,LSM2102,Biodiversity,L1,4,NON,IP,Y,,IP,54,0,0
5291_207,UGRD,930,4521,ACC1002,B.Eng. Dissertation,LSL1,4,GRD,B-,Y,,B-,74.1,0,0
31358_208,UGRD,1620,1180,PC1431,NUS Data Protection & PDPA Guidelines,L1,4,GRD,A-,Y,,A-,0,0,0
38875_209,GRAD,920,1057,ME2112,Clean Energy and Storage,L1,4,NON,,,,,47.1,0,0
26595_210,GRAD,1720,2868,GER1000,Programming Methodology,L1,4,GRD,A,Y,,A,77.1,0,0
49217_211,UGRD,1520,1420,JS2230,Enterprise Systems Architecture and Design,SB7,4,GRD,C,Y,,C,76.3,0,0
18091_212,UGRD,1620,1323,PC1432,Japanese 1,L1,4,GRD,B,Y,,B,58.2,0,0
36908_213,GRAD,810,1648,CFG1010,Engineering Professionalism,L1,8,GRD,B,Y,,B,0,18,2.25
24833_214,UGRD,1200,1817,IE2110,Personality & Individual Differences,LSL1,0,NON,,,,,76,16,0
43706_215,UGRD,1510,15555,SC2215,Physics for Electrical Engineers,L2,4,NON,B+,Y,,B+,83.4,12,3
8177_216,GRAD,820,1250,EC3351,FINANCIAL ACCOUNTING,L1,5,GRD,A,Y,,A,0,0,0
20560_217,UGRD,1520,1704,MA1104,Numerical Analysis I,L1,0,NON,S,Y,,S,0,0,0
50338_218,UGRD,1040,2892,LAG1201,Public Speaking and Critical Reasoning,L1,4,NON,C+,Y,,C+,75.5,0,0
56944_219,UGRD,1730,1075,GER1000,Programming Methodology,L1,4,NON,,,,,65,20,5
23929_220,UGRD,1020,15555,PC1322,"South Asia : People, Culture, Develop'm",L1,4,GRD,B+,Y,,B+,0,0,0
52881_221,GRAD,1220,1221,GE1101E,General Physiology,TE3,3,GRD,CS,Y,,CS,81,14,4.66666667
11856_222,UGRD,1520,1074,BSP2001,Genes and Society,L1,0,NON,B+,Y,CA,B+,76,0,0
19941_223,UGRD,720,1083,CS2103,Chemical Engineering Thermodynamics,LSL1,9,NON,,,,,0,14,1.55555556
39268_224,UGRD,1710,1686,MLE1101,Human Capital in Organizations,LSL1,4,NON,,,,,64.4,18,4.5
25990_225,UGRD,720,1978,EC3371,English For Academic Purposes (Engg),E1,0,GRD,A-,Y,,A-,0,20,0
61684_226,UGRD,820,5189,GEK1544,Introduction to Thermodynamics and Optics,TT04,4,NON,S,Y,,S,72,6,1.5
55394_227,UGRD,1620,15258,PF1102,Mathematical Analysis II,S1,0,GRD,C+,Y,,C+,0,0,0
7995_228,UGRD,1810,2273,CM2121,Analytical Chemistry 1,BSB1,4,GRD,,,,,86,6,1.5
2051_229,UGRD,1120,3000,MA1505,Quantitative Reasoning,T2K,4,GRD,C+,Y,,C+,63.4,10,2.5
18255_230,GRAD,1520,1750,PC2232,Circuit and Systems Design Lab,L1,4,NON,B+,Y,,B+,73.6,6,1.5
57987_231,UGRD,1610,1398,CFG1001,Einstein's Universe & Quantum Weirdness,LSL2,0,GRD,C+,Y,,C+,0,18,0
24159_232,UGRD,910,1018,EC3312,Climate Responsive Architecture,LSL1,0,GRD,U,N,,U,80.6,0,0
49671_233,UGRD,520,1060,PL3233,Fundamentals Of Mechanical Design,L1,4,SNU,D,Y,,D,73.8,0,0
15417_234,UGRD,1710,1575,MA1101R,Making Sense of Society,L1,0,NON,A,Y,,A,0,0,0
52848_235,GRAD,1620,7780,LAF1201,Human Physiology: Cardiopulmonary System,L1,1,GRD,A-,Y,,A-,0,16,16
19797_236,UGRD,1710,5121,LAG1201,Public Speaking and Critical Reasoning,E1,4,GRD,H,Y,,H,52.4,0,0
5333_237,UGRD,1320,1050,LC1003,Organic Chemistry for Engineers,L1,4,NON,,,,,0,14,3.5
37124_238,UGRD,622,1895,EC3351,FINANCIAL ACCOUNTING,LSL1,0,GRD,A-,Y,,A-,92,0,0
48194_239,UGRD,1410,1255,ES2331,Honours Project in Life Sciences,L7,4,GRD,CS,Y,,CS,87,14,3.5
13316_240,UGRD,1020,1017,GEK1519,Multivariable Calculus,L1,4,GRD,S,Y,,S,0,16,4
23074_241,UGRD,1020,1074,LSM1104,Feedback Control Systems,L1,3,GRD,,,,,74.3,0,0
20854_242,GRAD,1720,1268,PC1432,Japanese 1,L1,4,GRD,C,Y,,C,0,0,0
27530_243,UGRD,1610,1203,CFG1010,Engineering Professionalism,L1,0,NON,B-,Y,,B-,64.8,0,0
2663_244,GRAD,820,1087,GEK1046,Singapore's Foreign Policy,L1,0,NON,A-,Y,CA,A-,0,16,0
